id,nome_modello,brand,categoria,prezzo,descrizione_breve
1,Specialized Levo Gen 3 Alloy,Specialized,E-MTB,5500,Potenza e agilità in alluminio. Il punto di riferimento per ogni trail.
2,Specialized Turbo Kenevo SL,Specialized,E-MTB,7200,Leggerezza estrema e feeling naturale. Una enduro nata per scendere.
3,Specialized Rockhopper,Specialized,MTB,950,Versatilità e robustezza per le prime avventure off-road.
4,Orbea Wild FS,Orbea,E-MTB,8400,Geometria racing e potenza pura per dominare i sentieri tecnici.
5,Orbea Rise M20,Orbea,E-MTB,6900,Filosofia Less is more. Una E-MTB leggera e reattiva.
6,Fantic XTF 1.5 630Wh,Fantic,E-MTB,4800,Design italiano e grande autonomia per lunghe giornate in montagna.
7,Fantic XTF 1.5 Sport,Fantic,E-MTB,5200,Reattività e controllo superiore per prestazioni sportive.
8,Trek Rail 9.8 XT Gen 4,Trek,E-MTB,9100,Prestazioni da enduro con motore Bosch CX e precisione in discesa.
9,Canyon Spectral:ONfly CF 9,Canyon,E-MTB,7500,Leggera e scattante. Il perfetto equilibrio tra peso e potenza.
10,Santa Cruz Heckler 9,Santa Cruz,E-MTB,10200,L'icona del trail si elettrifica con sospensioni VPP senza pari.
11,Cannondale Moterra Neo 4,Cannondale,E-MTB,5400,Baricentro basso e agilità sorprendente su ogni terreno.
12,Giant Reign E+1 Mx Pro,Giant,E-MTB,6800,Setup Mullet per la massima trazione. Una bestia da enduro.
13,Scott Ransom eRIDE 910,Scott,E-MTB,7900,Escursione generosa e anima gravity per sfide estreme.
14,Haibike Xduro AllMtn 3.0,Haibike,E-MTB,4600,Affidabilità tedesca per esplorazioni infinite fuori strada.
15,Mondraker Chaser 29,Mondraker,E-MTB,5100,Forward Geometry per una stabilità estrema nel trail.
16,Cannondale Adventure Neo 4,Cannondale,E-City,3200,Comfort assoluto per riscoprire il piacere urbano.
17,Specialized Turbo Vado 5,Specialized,E-City,4500,Tecnologia intelligente per il pendolare più esigente.
18,Specialized Turbo Como 3.0,Specialized,E-City,3400,Eleganza e relax in ogni spostamento cittadino.
19,Gazelle Ultimate C5,Gazelle,E-City,3800,Raffinatezza olandese con cambio a cinghia silenzioso.
20,Gazelle Heavyduty NI C5,Gazelle,E-City,3100,Robusta e iconica per trasportare tutto con stile.
21,G-Force T42 Electric,G-Force,E-City,1800,Pieghevole e potente. La soluzione perfetta per la città.
22,G-Force S21,G-Force,E-City,2100,Design futuristico e compattezza per la mobilità urbana.
23,Evelo Omega Electric,Evelo,E-City,4200,Trasmissione automatica per una guida fluida.
24,Evelo Aurora Limited,Evelo,E-City,4500,Comfort premium per viaggi urbani senza fatica.
25,Brompton Electric,Brompton,E-City,3600,"La pieghevole migliore al mondo, ora più veloce."
26,Riese & Müller Nevo 4,Riese & Müller,E-City,5900,L'ammiraglia delle city-bike. Tecnologia tedesca superiore.
27,Kalkhoff Image 5 Advance,Kalkhoff,E-City,4200,Integrazione perfetta per il commuting quotidiano.
28,Moustache Lundi 27.3,Moustache,E-City,3500,Design unico e manubrio iconico per uno stile inconfondibile.
